image,class,iou,dice,precision,recall
desktop_0001_orig.jpg,bowl,0.40889739409832965,0.5804502099459372,0.790516036503485,0.458588363725007
desktop_0002_orig.jpg,book,0.0,0.0,,0.0
desktop_0003_orig.jpg,cup,0.0,0.0,,0.0
desktop_0004_orig.jpg,cup,0.3738769868693849,0.5442655935613682,0.9708389412292507,0.37812336187314344
desktop_0004_orig.jpg,bowl,0.0,0.0,0.0,
desktop_0005_orig.jpg,cup,0.782694698767944,0.8781029071426307,1.0,0.782694698767944
desktop_0005_orig.jpg,book,0.6230943885825495,0.7677857713828937,0.9998265093684942,0.6231617647058824
desktop_0006_orig.jpg,bowl,0.22262413679710621,0.3641742872512103,0.22627005347593582,0.9325068870523416
desktop_0007_orig.jpg,bottle,0.3565869957406834,0.5257119474980524,0.36525865745246194,0.9375771864825418
desktop_0008_orig.jpg,cup,0.0,0.0,0.0,0.0
desktop_0008_orig.jpg,bottle,0.22178988326848248,0.3630573248407643,0.7215189873417721,0.2425531914893617
desktop_0008_orig.jpg,bowl,0.0,0.0,,0.0
desktop_0009_orig.jpg,bowl,0.49912464696847075,0.6658881207480651,0.7310055392951308,0.6114230220630633
desktop_0010_orig.jpg,cup,0.8405916187345933,0.9133928571428571,0.9623706491063029,0.8691588785046729
desktop_0010_orig.jpg,bottle,0.6738683127572016,0.8051628764597418,0.6818181818181818,0.9829914957478739
desktop_0011_orig.jpg,bottle,0.5362981787378229,0.6981693868548743,0.553731778425656,0.9445494330614681
desktop_0012_orig.jpg,book,0.8049516908212561,0.8919371027099364,0.8627831715210356,0.9231301939058172
desktop_0012_orig.jpg,cell phone,0.0,0.0,0.0,0.0
desktop_0013_orig.jpg,cup,0.5122469328477912,0.6774646676031305,0.8288439955106621,0.5728414214379212
desktop_0013_orig.jpg,bowl,0.05864397451366398,0.11079073971134581,0.6896345713432241,0.06023368163811959
desktop_0014_orig.jpg,book,0.5599505562422744,0.7179080824088748,0.6835156544700113,0.7559449311639549
desktop_0015_orig.jpg,cell phone,0.0,0.0,,0.0
desktop_0016_orig.jpg,cell phone,0.0,0.0,,0.0
desktop_0017_orig.jpg,cup,0.0,0.0,,0.0
desktop_0018_orig.jpg,book,0.0,0.0,,0.0
desktop_0019_orig.jpg,cup,0.8057932850559578,0.8924535180459351,0.8227880010083186,0.9750074678880812
desktop_0019_orig.jpg,bottle,0.0,0.0,0.0,
desktop_0020_orig.jpg,bottle,0.0,0.0,,0.0
desktop_0020_orig.jpg,bowl,0.9092282659228266,0.9524563219090522,0.998468410976388,0.910498137802607
desktop_0021_orig.jpg,cell phone,0.0,0.0,,0.0
desktop_0022_orig.jpg,cell phone,0.0,0.0,,0.0
desktop_0023_orig.jpg,cup,0.8232995100827538,0.9030875130826825,0.9883583897791729,0.8313615771578918
desktop_0024_orig.jpg,bowl,0.9744172494172494,0.9870428853929931,0.9882342778947177,0.9858543620630227
desktop_0025_orig.jpg,bowl,0.0,0.0,,0.0
desktop_0026_orig.jpg,cup,0.8885560608710862,0.9409898697539797,0.9275345779887707,0.9548412866239046
desktop_0026_orig.jpg,bowl,0.0,0.0,0.0,
desktop_0027_orig.jpg,bottle,0.7129836904381196,0.8324465602538972,0.9975391498881432,0.7142399487425917
desktop_0027_orig.jpg,bowl,0.8777908343125734,0.934918648310388,0.9589216944801027,0.9120879120879121
desktop_0027_orig.jpg,book,0.011576626240352812,0.022888283378746595,0.07094594594594594,0.01364522417153996
desktop_0028_flip.jpg,bowl,0.414665304036791,0.5862380350370237,0.7946144430844553,0.4644441264844756
desktop_0029_flip.jpg,book,0.0,0.0,,0.0
desktop_0030_flip.jpg,cup,0.0,0.0,,0.0
desktop_0031_flip.jpg,cup,0.3897895826146947,0.5609332340531149,0.9678800856531049,0.3948977808841517
desktop_0031_flip.jpg,bottle,0.0,0.0,0.0,
desktop_0031_flip.jpg,bowl,0.0,0.0,0.0,
desktop_0032_flip.jpg,cup,0.9399796541200407,0.9690613529103304,1.0,0.9399796541200407
desktop_0032_flip.jpg,book,0.0,0.0,,0.0
desktop_0033_flip.jpg,bowl,0.9051383399209486,0.950207468879668,0.9541666666666667,0.9462809917355371
desktop_0034_flip.jpg,bottle,0.35471290894715474,0.5236724424849952,0.36416387868151157,0.931823285056697
desktop_0035_flip.jpg,cup,0.0,0.0,0.0,0.0
desktop_0035_flip.jpg,bottle,0.08216857263871241,0.1518590998043053,0.4409090909090909,0.091725768321513
desktop_0035_flip.jpg,bowl,0.0,0.0,0.0,0.0
desktop_0036_flip.jpg,bowl,0.4458816723977247,0.6167609437338164,0.6842059842442025,0.5614194814522574
desktop_0037_flip.jpg,cup,0.8428571428571429,0.9147286821705426,0.9656909033679572,0.8688756726139903
desktop_0037_flip.jpg,bottle,0.6146645865834633,0.7613526570048309,0.6202770780856424,0.9854927463731866
desktop_0038_flip.jpg,bottle,0.8834498834498834,0.9381188118811881,0.9338655627833629,0.9424109807041974
desktop_0039_flip.jpg,book,0.7840236686390533,0.87893864013267,0.8434118395926161,0.917590027700831
desktop_0039_flip.jpg,cell phone,0.0,0.0,,0.0
desktop_0040_flip.jpg,cup,0.5020013626298757,0.6684432852323307,0.8049296736310255,0.5715324574586707
desktop_0040_flip.jpg,bowl,0.2298703330247031,0.3738123066345823,0.8928207822917009,0.23639359657742107
desktop_0041_flip.jpg,book,0.548281990521327,0.7082456475990052,0.6540636042402826,0.772215269086358
desktop_0042_flip.jpg,cell phone,0.0,0.0,,0.0
desktop_0043_flip.jpg,cell phone,0.0,0.0,,0.0
desktop_0044_flip.jpg,cup,0.0,0.0,,0.0
desktop_0045_flip.jpg,book,0.0,0.0,,0.0
desktop_0046_flip.jpg,cup,0.7950325934483043,0.885814103153443,0.8227307659465459,0.9593746888379966
desktop_0046_flip.jpg,bottle,0.0,0.0,0.0,
desktop_0047_flip.jpg,bottle,0.0,0.0,,0.0
desktop_0047_flip.jpg,bowl,0.9079604880883207,0.9517602631258375,0.9983388704318937,0.9093342644320298
desktop_0048_flip.jpg,cell phone,0.0,0.0,,0.0
desktop_0049_flip.jpg,cell phone,0.0,0.0,,0.0
desktop_0050_flip.jpg,cup,0.7923778841489644,0.8841638709743307,0.9849822517520707,0.8020677962961247
desktop_0051_flip.jpg,bowl,0.3741844639534199,0.5445913176414771,0.995483016140689,0.3748208551784192
desktop_0052_flip.jpg,bowl,0.0,0.0,,0.0
desktop_0053_flip.jpg,cup,0.8852951419118927,0.9391581426493338,0.9232131102889438,0.9556636357228449
desktop_0053_flip.jpg,bowl,0.0,0.0,0.0,
desktop_0054_flip.jpg,bottle,0.7166134185303514,0.8349153173273777,0.996224739062847,0.7185647925676758
desktop_0054_flip.jpg,bowl,0.8596698113207547,0.9245402663284717,0.9617414248021108,0.8901098901098901
desktop_0054_flip.jpg,book,0.0,0.0,,0.0
desktop_0055_bright.jpg,bowl,0.40933538769838645,0.5808913779804823,0.791034552047275,0.45896461635480096
desktop_0056_bright.jpg,book,0.0,0.0,,0.0
desktop_0057_bright.jpg,cup,0.0,0.0,,0.0
desktop_0058_bright.jpg,cup,0.40099776363323586,0.5724459724950884,0.9628252788104089,0.40730386161104315
desktop_0058_bright.jpg,bowl,0.0,0.0,0.0,
desktop_0059_bright.jpg,cup,0.8414716853170566,0.913912162784274,1.0,0.8414716853170566
desktop_0059_bright.jpg,book,0.6253782965845223,0.769517223034978,0.9993091537132988,0.6256487889273357
desktop_0060_bright.jpg,bowl,0.8938992042440318,0.9439775910364145,0.9601139601139601,0.928374655647383
desktop_0061_bright.jpg,bottle,0.3565392053164097,0.5256600088211203,0.3653492445806875,0.93665094869204
desktop_0062_bright.jpg,cup,0.0,0.0,0.0,0.0
desktop_0062_bright.jpg,bottle,0.2236614853195164,0.36556104446012705,0.7204450625869263,0.24491725768321512
desktop_0062_bright.jpg,bowl,0.0,0.0,,0.0
desktop_0063_bright.jpg,bowl,0.4869146559068915,0.6549328893525701,0.7032621314139772,0.6128190343236928
desktop_0064_bright.jpg,cup,0.8399890590809628,0.9130370150141222,0.9608886107634543,0.869725290286038
desktop_0064_bright.jpg,bottle,0.6711020129648584,0.8031849734585546,0.6785098309761987,0.983991995997999
desktop_0065_bright.jpg,bottle,0.5110578992681877,0.6764239802004879,0.5268340036056025,0.9446488959618062
desktop_0066_bright.jpg,book,0.8379571248423707,0.911835334476844,0.9034670292318151,0.9203601108033241
desktop_0066_bright.jpg,cell phone,0.0,0.0,,0.0
desktop_0067_bright.jpg,cup,0.5131493153662248,0.6782533754668199,0.8323344849467672,0.572308139816745
desktop_0067_bright.jpg,bowl,0.23871616525601275,0.3854251231260486,0.8676687836006153,0.24773558405190219
desktop_0068_bright.jpg,book,0.5639751552795031,0.7212073073868149,0.6881394467601364,0.7576136837713809
desktop_0069_bright.jpg,cell phone,0.0,0.0,,0.0
desktop_0070_bright.jpg,cell phone,0.0,0.0,,0.0
desktop_0071_bright.jpg,cup,0.0,0.0,,0.0
desktop_0072_bright.jpg,book,0.0,0.0,,0.0
desktop_0073_bright.jpg,cup,0.8081098864944892,0.8938725378701724,0.8228643216080402,0.9782933386438315
desktop_0073_bright.jpg,bottle,0.0,0.0,0.0,
desktop_0074_bright.jpg,bottle,0.0,0.0,,0.0
desktop_0074_bright.jpg,bowl,0.9101580660158066,0.9529662306054153,0.9984699732245315,0.9114292364990689
desktop_0075_bright.jpg,cell phone,0.0,0.0,,0.0
desktop_0076_bright.jpg,cup,0.0,0.0,0.0,
desktop_0076_bright.jpg,cell phone,0.0,0.0,,0.0
desktop_0077_bright.jpg,cup,0.827491081617799,0.9056034143655102,0.9649394876093677,0.8531419942375927
desktop_0078_bright.jpg,bowl,0.9743265710354965,0.9869963615233937,0.9879269528392336,0.9860675217241441
desktop_0079_bright.jpg,cup,0.0,0.0,0.0,
desktop_0079_bright.jpg,bowl,0.0,0.0,,0.0
desktop_0080_bright.jpg,cup,0.9441258397509421,0.97126000842815,0.9960487973526942,0.9476751016188529
desktop_0080_bright.jpg,bowl,0.0,0.0,0.0,
desktop_0081_bright.jpg,bottle,0.7131435881036137,0.8325555348142617,0.9975397002907627,0.7144001281435207
desktop_0081_bright.jpg,bowl,0.8742655699177438,0.9329153605015674,0.9587628865979382,0.9084249084249084
desktop_0081_bright.jpg,book,0.013340683572216096,0.02633010553802633,0.08088235294117647,0.015724496426250813
desktop_0082_dark.jpg,bowl,0.4082192945979662,0.5797666544748048,0.7903119568200531,0.4578040624685352
desktop_0083_dark.jpg,book,0.0,0.0,,0.0
desktop_0084_dark.jpg,cup,0.0,0.0,,0.0
desktop_0085_dark.jpg,cup,0.371305099394987,0.5415353586285138,0.971945701357466,0.37532762537130876
desktop_0085_dark.jpg,bowl,0.0,0.0,0.0,
desktop_0086_dark.jpg,cup,0.7842771560981123,0.8790979063064205,1.0,0.7842771560981123
desktop_0086_dark.jpg,book,0.6200410766403632,0.7654634016147328,0.9994772608468374,0.620242214532872
desktop_0087_dark.jpg,bowl,0.8976063829787234,0.9460406447091801,0.9629101283880172,0.9297520661157025
desktop_0088_dark.jpg,cup,0.0,0.0,0.0,
desktop_0088_dark.jpg,bottle,0.35637974278243234,0.525486678312324,0.36509654704891864,0.9372123049287078
desktop_0089_dark.jpg,cup,0.0,0.0,0.0,0.0
desktop_0089_dark.jpg,bottle,0.21471861471861473,0.353528153955809,0.7178002894356006,0.23451536643026005
desktop_0089_dark.jpg,bowl,0.0,0.0,,0.0
desktop_0090_dark.jpg,bowl,0.4713761122357704,0.640728238437295,0.6775274056029232,0.6077205547631331
desktop_0091_dark.jpg,cup,0.8410087719298246,0.9136390708755211,0.963265306122449,0.8688756726139903
desktop_0091_dark.jpg,bottle,0.6820548420687261,0.8109781262897234,0.690200210748156,0.9829914957478739
desktop_0092_dark.jpg,bottle,0.5110125050423557,0.6763842169896951,0.5266775686687547,0.9449970161129898
desktop_0093_dark.jpg,book,0.8347003154574133,0.9099037138927097,0.9036885245901639,0.9162049861495845
desktop_0093_dark.jpg,cell phone,0.0,0.0,,0.0
desktop_0094_dark.jpg,cup,0.5246258382555402,0.6882027381299155,0.8620739983945122,0.5726959809957822
desktop_0094_dark.jpg,bowl,0.24233367056087518,0.3901265437834733,0.8750113681147118,0.25102295506824773
desktop_0095_dark.jpg,book,0.5621468926553672,0.7197106690777577,0.6941860465116279,0.7471839799749687
desktop_0096_dark.jpg,cell phone,0.0,0.0,,0.0
desktop_0097_dark.jpg,cell phone,0.0,0.0,,0.0
desktop_0098_dark.jpg,cup,0.0,0.0,,0.0
desktop_0099_dark.jpg,book,0.0,0.0,,0.0
desktop_0100_dark.jpg,cup,0.8035905459935766,0.8911008629742934,0.8229043683589138,0.9716220252912476
desktop_0100_dark.jpg,bottle,0.0,0.0,0.0,
